nombre_cientifico,autor_nombre_cientifico
mylossoma aureum,spix & agassiz 1829
nannostomus eques,steindachner 1876
nannostomus trifasciatus,steindachner 1876
ochmacanthus reinhardtii,steindachner 1882
oncorhynchus mykiss,walbaum 1792
osteoglossum bicirrhosum,cuvier 1829
oxyropsis wrightiana,eigenmann & eigenmann 1889
panaqolus changae,chockley & armbruster 2002
panaque sp.,None
paragoniates alburnus,steindachner 1876
paratrygon aiereba,muller & henle 1841
parodon buckleyi,boulenger 1887
parodon pongoensis,allen 1942
peckoltia sp. 1,None
peckoltia sp. 2,None
peckoltichthys bachi,boulenger 1898
pellona flavipinnis,valenciennes 1836
phenacogaster pectinata,cope 1870
phenacogaster sp.,lucena & malabarba 2010
phenacorhamdia sp.,None
piaractus brachypomus,cuvier 1818
pimelodella buckleyi,boulenger 1887
pimelodella cristata,müller & troschel 1849
pimelodella cristata,müller y troschel 1849
pimelodella gracilis,valenciennes 1835
pimelodus blochii,valenciennes 1840
pimelodus ornatus,kner 1858
pimelodus pictus,steindachner 1876
pinirampus pirinampu,spix & agassiz 1829
planiloricaria cryptodon,isbrücker 1971
platydoras armatulus,valenciennes 1840
platysilurus mucosus,vaillant 1880
platyurosternarchus macrostoma,günther 1870
potamorhina altamazonica,cope 1878
potamorhina latior,spix & agassiz 1829
potamorhina pristigaster,steindachner 1876
potamorrhaphis eigenmanni,miranda ribeiro 1915
potamorrhaphis guianensis,jardine 1843
potamotrygon motoro,muller & henle 1841
potamotrygon tigrina,"carvalho, sabaj & lovejoy 2011"
prionobrama filigera,cope 1870
pristigaster cayana,cuvier 1829
prochilodus nigricans,spix & agassiz 1829
psectrogaster amazonica,eigenmann & eigenmann 1889
psectrogaster essequibensis,günther 1864
psectrogaster rutiloides,kner 1858
pseudanos trimaculatus,kner 1858
pseudobunocephalus bifidus,eigenmann 1942
pseudohemiodon lamina,günther 1868
pseudopimelodus bufonius,valenciennes 1840
pseudoplatystoma punctifer,castelnau 1855
pseudorinelepis genibarbis,valenciennes 1840
pseudorinelepis genibarbis,None
pseudotylosurus angusticeps,günther 1866
pterophyllum scalare,schultze 1823
pterygoplichthys pardalis,castelnau 1855
pterygoplichthys scrophus,cope 1874
pygocentrus nattereri,kner 1858
pyrrhulina brevis,steindachner 1876
pyrrhulina sp.,None
pyrrhulina vittata,regan 1912
pyrrhulina zigzag,zarske & gery 1997
rhamdia quelen,quoy & gaimard 1824
rhamdia quelen,quoy y gaimard 1824
rhamphichthys pantherinus,castelnau 1855
rhamphichthys pantherinus,castelnau 1856
rhaphiodon vulpinus,spix & agassiz 1829
rineloricaria cf. wolfei,fowler 1940
rineloricaria sp.,None
roeboides myersii,fowler 1932
salminus iquitensis,None
satanoperca jurupari,heckel 1840
saxatilia anthurus,cope 1872
schizodon fasciatus,spix & agassiz 1829
semaprochilodus insignis,jardine & schomburgk 1841
semaprochilodus insignis,jardine 1841
serrapinnus sp.,None
serrasalmus compressus,"jegu, leão & santos 1991"
serrasalmus elongatus,kner 1858
serrasalmus humeralis,valenciennes 1850
serrasalmus rhombeus,linnaeus 1766
serrasalmus sp.,None
serrasalmus spilopleura,kner 1858
serrrasalmus sp.,None
sorubim elongatus,"littmann, burr, schmidt & isern 2001"
spatuloricaria evansii,boulenger 1892
sphoeroides asellus,müller & troschel 1849
steatogenys elegans,steindachner 1880
steindachnerina bimaculata,steindachner 1876
steindachnerina dobula,günther 1868
steindachnerina guentheri,eigenmann & eigenmann 1889
steindachnerina hypostoma,boulenger 1887
steindachnerina leucisca,günther 1868
steindachnerina planiventris,vari & vari 1989
steindachnerina planiventris,vari &vari 1989
steindachnerina quasimodoi,vari & vari 1989
steindachnerina sp.,None
sternopygus macrurus,bloch & schneider 1801
stethaprion erythrops,cope 1870
stichonodon insignis,steindachner 1876
synbranchus marmoratus,bloch 1795
tahuantinsuyoa macantzatza,kullander 1986
tatia dunni,fowler 1945
tatia intermedia,steindachner 1877
tenellus sp.,None
tetragonopterus argenteus,cuvier 1816
tetragonopterus chalceus,spix & agassiz 1829
thalassophryne amazonica,steindachner 1876
thayeria obliqua,eigenmann 1908
thoracocharax securis,de filippi 1853
thoracocharax stellatus,kner 1858
trachelyopterus galeatus,linnaeus 1766
trachydoras nattereri,steindachner 1881
triportheus angulatus,spix & agassiz 1829
tyttocharax sp.,None
zungaro zungaro,humboldt 1821
