Dar_IdDarwinCore,N Lote,Nombre Archivo Completo,Dar_ReinoOrganismo,Dar_DivisionOrganismo,Dar_ClaseOrganismo (Class),Dar_OrdenOrganismo,Dar_FamiliaOrganismo,Dar_GeneroOrganismo,Dar_NombreCientifico,Dar_EspecieOrganismo,Dar_AutorNombreCientifico ,Dar_IdentificadoPor,Fech. Compl. Ident,Dar_AnoIdentificacion (YearIdentified),Dar_MesIdentificacion (MonthIdentified),Dar_DiaIdentificacion (DayIdentified),Dar_CodigoInstitucion,Dar_CodigoColeccion,Dar_NumeroCatalogo,Dar_SexoOrganismo,longitud (cm) ,N,Dar_Colector,Fech.Completa,Dar_AnoColectado,Dar_MesColectado,Dar_DiaColectado,Dar_ContinenteOceano,Dar_Pais,Región,Provincia ,Distrito,Dar_Localidad,Dar_NombreComunOrganismo,Habitat,Uso,Latitud ,Longitud,Cuenca,Arte de Pesca,
117,CIIAP 117,CIIAP 117.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans,Spix & Agassiz 1829,Morgan Ruiz Tafur ,22/7/2021,2021,7,22,IIAP,CIIAP,CIIAP 117,I,LE: 14.9,3,Homero Sánchez Riveiro,25/9/2013,2013,9,25,América del Sur,Perú,San Martín,Huallaga,Saposoa,saposoa ,boquichico,Río ,C, -6.933060°,-76.776021°,Río Saposoa,"Red trampa de 2""",
283,CIIAP 283,CIIAP 283.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Cetopsidae,Cetopsis,Cetopsis coecutiens ,coecutiens ,(Lichtenstein 1819),Homero Sánchez Riveiro,20/5/2002,2002,5,20,IIAP,CIIAP,CIIAP 283,I,LE: 17.1,1,Homero Sánchez Riveiro,22/4/2002,2002,4,22,América del Sur,Perú,Cajamarca,Jaén,,Río Chamaya ,canero,,O, -5.835731°,-78.742192°,Río Chamaya ,Red alevinera ,
316,CIIAP 316,CIIAP 316.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Chaetostoma,Chaetostoma sp. ,sp.,,Homero Sánchez Riveiro,25/6/2000,2000,6,25,IIAP,CIIAP,CIIAP 316,I,LE: 9.8,1,Homero Sánchez Riveiro,22/4/2000,2000,4,22,América del Sur,Perú,Cajamarca,Jaén,,Río Chamaya ,carachama ,,"C,O", -5.835731°,-78.742192°,Río Chamaya ,"Red trampa de 2""",
27,CIIAP 27,CIIAP 27.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Parodontidae,Parodon,Parodon buckleyi,buckleyi,Boulenger 1887,Homero Sánchez Riveiro,13/2/2006,2006,2,13,IIAP,CIIAP,CIIAP 27,I,LE: 12.7,2,Bruno Vasquez,13/2/2006,2006,2,13,América del Sur,Perú,Cusco,La Convención,Megantoni,,yulilla,Quebrada Yogeato,O,-11.752082°,-72.918222°,Río Camisea/Urubamba ,Red alevinera ,
196,CIIAP 196,CIIAP 196.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Characidae,Paragoniates ,Paragoniates alburnus,alburnus,Steindachner 1876,Homero Sánchez Riveiro,18/12/1997,1997,12,18,IIAP,CIIAP,CIIAP 196,I,LE: 6.01,11,Homero Sánchez Riveiro,23/9/1997,1997,9,23,América del Sur,Perú,Cusco,La Convención,Megantoni,quebrada ,mojarra,Quebrada ,O,-11.871776°,-72.952523°,Río Urubamba ,Red alevinera ,
256,CIIAP 256,CIIAP 256.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae ,Pimelodus ,Pimelodus pictus ,pictus,Steindachner 1876,Homero Sánchez Riveiro,20/3/2014,2014,3,20,IIAP,CIIAP,CIIAP 256,I,LE: 7.9,5,Bruno Vasquez,1/12/2006,2006,12,1,América del Sur,Perú,Cusco,La Convención,Megantoni,comunidad nueva vida ,cunchi,quebrada ,O,-11.494526°,-73.136773°,Río Urubamba ,"Red trampa de 2""",
295,CIIAP 295,CIIAP 295.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Henonemus,Henonemus punctatus ,punctatus,(Boulenger 1887),Homero Sánchez Riveiro,2/12/2006,2006,12,2,IIAP,CIIAP,CIIAP 295,I,LE: 9.1,2,Bruno Vasquez,1/12/2006,2006,12,1,América del Sur,Perú,Cusco,La Convención,Megantoni,comunidad nueva vida ,canero,quebrada,O,-11.494526°,-73.136773°,Río Urubamba ,Red alevinera ,
327,CIIAP 327,CIIAP 327.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,Hypostomus oculeus,oculeus,(Fowler 1943),Homero Sánchez Riveiro,30/10/2010,2010,10,30,IIAP,CIIAP,CIIAP 327,I,LE:15.9,1,Pedro Muñoz,29/10/2010,2010,10,29,América del Sur,Perú,Ayacucho,La Mar,Anco,San Antonio,carachama ,,"C,O",-12.619993°,-73.792994°,Río Apurimac,"Red trampa de 2""",
338,CIIAP 338,CIIAP 338.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,Hypostomus oculeus,oculeus,(Fowler 1943),Homero Sánchez Riveiro,15/11/2010,2010,11,15,IIAP,CIIAP,CIIAP 338,I,LE: 18.3,1,J. Lujan,1/11/2010,2010,1,11,América del Sur,Perú,Ayacucho,La Mar,,Río Apurimac (Kimbiri),carachama,,"O, C",-12.619993°,-73.792994°,Río Kimbiri,Red alevinera ,
341,CIIAP 341,CIIAP 341.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Spatuloricaria,Spatuloricaria evansii,evansii,(Boulenger 1892),Homero Sánchez Riveiro,31/10/2010,2010,10,31,IIAP,CIIAP,CIIAP 341,I,LE: 17.2,2,Panfilo Muñoz,29/10/2010,2010,10,29,América del Sur,Perú,Ayacucho,La Mar,,Río Apurimac (Kimbiri),shitari,,"O, C",-12.619993°,-73.792994°,Río Kimbiri,Red alevinera ,
3,CIIAP 3,CIIAP 3.jpg,Animalia ,Chordata,Chondrichthyes,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon motoro,motoro,(Muller & Henle 1841),Homero Sánchez Riveiro,24/4/1987,1987,4,24,IIAP,CIIAP,CIIAP 3,M,LT: 26.4,2,Victor Montreuil & Salvador Tello,9/4/1987,1987,4,9,América del Sur,Perú,Loreto,Loreto,Nauta,comunidad carocurahayte,raya motoro,Cocha carocurahuaite,O, -4.478462°,-74.168982°,Río Ucayali,"Red trampa de 3""",
35,CIIAP 35,CIIAP 35.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Curimatidae,Potamorhina ,Potamorhina altamazonica,altamazonica,(Cope 1878),Homero Sánchez Riveiro,10/2/2004,2004,2,10,IIAP,CIIAP,CIIAP 35,I,LE: 14.3,1,Homero Sánchez Riveiro,28/4/2002,2002,4,28,América del Sur,Perú,Loreto,Loreto,Nauta,,ractacara común,orilla ,C, -4.593701°,-73.545847°,Río Ucayali,"Red trampa de 3""",
