familia,genero
Characidae,Moenkhausia 
Characidae,Stethaprion 
Gasteropelecidae,Thoracocharax 
Achiridae,Hypoclinemus
Callichthyidae,Corydoras
Achiridae,Hypoclinemus
Cichlidae,Crenicichla 
Callichthyidae,Corydoras
Characidae,Knodus
Serrasalmidae,Serrasalmus 
Gasteropelecidae,Thoracocharax 
Cichlidae,Bujurquina 
Cichlidae,Saxatilia
Sternopygidae,Sternopygus
Gymnotidae,Gymnotus
Characidae,Moenkhausia 
Characidae,Moenkhausia 
Gasteropelecidae,Thoracocharax 
Auchenipteridae,Duringlanis 
Characidae,Tetragonopterus 
Cichlidae,Bujurquina 
Heptapteridae,Rhandia 
Serrasalmidae,Serrasalmus 
Crenuchidae,Characidium
Tetraodontidae,Sphoeroides 
Loricariidae,Loricaria 
Serrasalmidae,Serrasalmus 
Gasteropelecidae,Thoracocharax 
Characidae,Stichonodon 
Tetraodontidae,Sphoeroides 
Achiridae,Hypoclinemus
Trichomycteridae,Henonemus
Loricariidae,Aphanotorulus
Characidae,Stichonodon 
Serrasalmidae,Metynnis
Triportheidae,Triportheus
Triportheidae,Triportheus
Anostomidae ,Schizodon
Characidae,Tetragonopterus 
Tetraodontidae,Sphoeroides 
Curimatidae,Psectrogaster
Characidae,Astyanax 
Cichlidae,Crenicichla 
Heptapteridae,Goeldiella
Auchenipteridae,Centromochlus 
Tetraodontidae,Sphoeroides 
Serrasalmidae,Mylossoma 
Curimatidae,Curimatella
Curimatidae,Steindachnerina
Characidae,Tetragonopterus 
Erythrinidae,Hoplias 
Tetraodontidae,Sphoeroides 
Characidae,Prionobrama 
Achiridae,Hypoclinemus
Serrasalmidae,Metynnis
Erythrinidae,Hoplias 
Polycentridae,Monocirrhus 
Characidae,Stichonodon 
Serrasalmidae,Myloplus
Loricariidae,Peckoltichthys
Callichthyidae,Megalechis
Pristigasteridae,Pristigaster
Achiridae,Hypoclinemus
Loricariidae,Pseudohemiodon 
Bryconidae,Brycon 
Cichlidae,Pterophyllum
Characidae,Charax 
Characidae,Moenkhausia 
Serrasalmidae,Serrasalmus 
Tetraodontidae,Sphoeroides 
Tetraodontidae,Sphoeroides 
Characidae,Tetragonopterus 
Gasteropelecidae,Thoracocharax 
Characidae,Ctenobrycon 
Characidae,Prionobrama 
Characidae,Knodus
Lebiasinidae,Pyrrhulina 
Lebiasinidae,Pyrrhulina 
Lebiasinidae,Pyrrhulina 
Lebiasinidae,Pyrrhulina 
Erythrinidae,Hoplerythrinus 
Achiridae,Apionichthys
Lebiasinidae,Copeina 
Lebiasinidae,Pyrrhulina 
Tetraodontidae,Sphoeroides 
Pimelodidae ,Pimelodus 
Gasteropelecidae,Thoracocharax 
Cichlidae,Bujurquina 
Heptapteridae,Rhandia 
