pais,region,provincia,distrito,localidad
peru,loreto,maynas,torres causana,quebrada rinayacu
peru,madre de dios,tambopata,tambopata,quebrada sabalochayac
peru,loreto,loreto,nauta,quebrada safira
peru,loreto,None,None,quebrada san antonio
peru,loreto,ucayali,padre marquez,quebrada sierra de contamana
peru,madre de dios,tambopata,tambopata,quebrada sin nombre (sabaloyacu)
peru,loreto,maynas,torres causana,quebrada tacarachi
peru,loreto,maynas,torres causana,quebrada tekera /rio napo
peru,loreto,None,None,quebrada tequera
peru,loreto,maynas,torres causana,quebrada tequera
peru,loreto,None,None,quebrada yanayacu
peru,loreto,maynas,torres causana,quebrada yanayacu
peru,loreto,maynas,torres causana,quebrada yanayacu /rio aushiri
peru,loreto,maynas,None,resaca anguilla
peru,loreto,maynas,napo,resaca santa victoria
peru,loreto,maynas,belen,rio amazonas
peru,loreto,maynas,belen,rio amazonas/isla iquitos
peru,ayacucho,None,None,rio apurimac (kimbiri)
peru,ayacucho,la mar,None,rio apurimac (kimbiri)
peru,loreto,maynas,napo,"rio arabela, orilla playa flor de cooc"
peru,loreto,maynas,torres causana,rio aushiri parte altab
peru,loreto,None,None,rio ausshiri/quebarda mahuari
peru,cajamarca,jaen,None,rio chamaya
peru,loreto,loreto,trompeteros,rio correintes
peru,san martin,san martin,juan guerra,rio cumbaza
peru,loreto,maynas,napo,rio curaray
peru,san martin,san martin,juan guerra,rio mayo
peru,loreto,None,None,rio nanay
peru,loreto,maynas,san juan bautista,rio nanay
peru,loreto,maynas,alto nanay,rio pintuyacu
peru,loreto,loreto,parinari,rio samiria
peru,loreto,None,None,rio samiria /1 ra zona tipisca
peru,loreto,None,None,rio shimbillo bajo
peru,san martin,tocache,tocache,rio tocache
peru,loreto,maynas,torres causana,rio yanayacu
peru,loreto,loreto,tigre,rojas cocha
peru,loreto,loreto,tigre,rojas cocha rio pucacuro
peru,loreto,maynas,san juan bautista,rumocoha
peru,loreto,None,None,sacarita
peru,ucayali,coronel portillo,masisea,san antonio
peru,ayacucho,la mar,anco,san antonio
peru,ucayali,coronel portillo,masisea,san antonio - alto ucayali
peru,ucayali,coronel portillo,masisea,san antonio alto ucayali
peru,san martin,el dorado,san jose de sisa,san jose de sisa
peru,loreto,loreto,nauta,san pablo de tipishca
peru,loreto,None,None,san pablo de tipishca
peru,loreto,loreto,nauta,san pablo de tipishca (rio marañon
peru,loreto,loreto,nauta,san pablo tipishca
peru,loreto,loreto,nauta,san pablo tipishca(rio marañon)
peru,loreto,maynas,iquitos,santa clara
peru,loreto,maynas,napo,santa clotilde
peru,loreto,maynas,napo,santa victoria
peru,loreto,None,None,santa victoria resaca
peru,loreto,maynas,napo,santa victoria rio napo
peru,loreto,None,None,santa victoria/rio napo resaca
peru,san martin,huallaga,saposoa,saposoa
peru,loreto,None,None,shapajal-lamistocoha
peru,loreto,None,None,shiriara
peru,loreto,maynas,san juan bautista,shiruy caño/rio nanay
peru,loreto,maynas,san juan bautista,shiruycaño
peru,loreto,ucayali,padre marquez,sierra del dividor ucayali
peru,loreto,ucayali,padre marquez,sierra del divisor
peru,loreto,maynas,alto nanay,tipishca
peru,loreto,None,None,tipishca
peru,loreto,None,None,tipishca cuncchi/rio aushiri
peru,loreto,maynas,napo,tipishca nashiño
peru,loreto,maynas,torres causana,tipishca tunchi
peru,loreto,loreto,tigre,tipishca virote
peru,loreto,None,None,tipishca wuitoyacu
peru,loreto,loreto,tigre,tres cochas
peru,loreto,loreto,tigre,tres cochas rio pucacuro
peru,loreto,None,None,vieja cocha
peru,loreto,maynas,punchana,vieja cocha
peru,loreto,maynas,punchana,vieja cocha rio nanay
peru,loreto,maynas,punchana,viejacocha
peru,loreto,None,None,wistococha
peru,loreto,maynas,iquitos,zona alta de huachana
peru,loreto,maynas,san juan bautista,zona alta del pintuyacu
peru,loreto,maynas,iquitos,zona baja de huachana
peru,loreto,maynas,san juan bautista,zona baja del pintuyacu
peru,loreto,maynas,iquitos,zona media de huachana
peru,loreto,maynas,san juan bautista,zona media del pintuyacu
