familia,genero,nombre_cientifico,especie,genero_id,autor_nombre_cientifico
callichthyidae,corydoras,corydoras cf. sychri,sychri,56.0,Weitzman 1960
callichthyidae,corydoras,corydoras leucomelas,leucomelas,56.0,Eigenmann & Allen 1942
callichthyidae,corydoras,corydoras multiradiatus,multiradiatus,56.0,Orcés V. 1960.
callichthyidae,corydoras,corydoras pastazensis,pastazensis,56.0,Weitzman 1963
callichthyidae,corydoras,corydoras rabauti,rabauti,56.0,LaMonte 1941
callichthyidae,corydoras,corydoras semiaquilus,semiaquilus,56.0,Weitzman 1964
callichthyidae,corydoras,corydoras splendens,splendens,56.0,Castelnau 1855
characidae,creagrutus,creagrutus cochui,cochui,57.0,Géry 1964
characidae,creagrutus sp.,creagrutus sp.,sp.,58.0,No author
cichlidae,crenicara,crenicara punctulata,punctulata,59.0,Günther 1863
cichlidae,crenicichla,crenicichla johanna,johanna,60.0,Heckel 1840
cichlidae,crenicichla,crenicichla lucius,lucius,60.0,Cope 1870
cichlidae,crenicichla,crenicichla proteus,proteus,60.0,Cope 1872
cichlidae,crenicichla,crenicichla reticulatus,reticulatus,60.0,Heckel 1840
cichlidae,crenicichla,crenicichla sedentaria,sedentaria,60.0,Kullander 1986
cichlidae,crenicichla,crenicichla sp.,sp.,60.0,No author
characidae,ctenobrycon,ctenobrycon hauxwellianus,hauxwellianus,61.0,Cope 1870
curimatidae,curimata,curimata aspera,aspera,62.0,Günther 1868
curimatidae,curimata,curimata cisandina,cisandina,62.0,Allen 1942
curimatidae,curimatopsis,curimata cisandina,macrolepis,64.0,Allen 1942
curimatidae,curimata,curimata knerii,kneri,62.0,Steindachner 1876
curimatidae,curimata,curimata knerii,knerii,62.0,Steindachner 1876
curimatidae,curimata,curimata roseni,roseni,62.0,Vari 1989
curimatidae,curimata,curimata vittata,vittata,62.0,Kner 1858
curimatidae,curimatella,curimatella alburnus,alburnus,63.0,Müller & Troschel 1844
curimatidae,curimatella,curimatella dorsalis,dorsalis,63.0,Eigenmann & Eigenmann 1889
curimatidae,curimatella,curimatella meyeri,meyeri,63.0,Steindachner 1882
curimatidae,curimatella,curimatella sp. 1,sp. 1,63.0,No author
curimatidae,curimatopsis,curimatopsis macrolepis,macrolepis,64.0,Steindachner 1876
cynodontidae,cynodon,cynodon gibbus,gibbus,65.0,Spix & Agassiz 1829
characidae,cynopotamus,cynopotamus amazonus,amazonus,66.0,Günther 1868
curimatidae,cyphocharax,cyphocharax festivus,festivus,67.0,Vari 1992
curimatidae,cyphocharax,cyphocharax notatus,cyphocharax,67.0,Steindachner 1908
curimatidae,cyphocharax,cyphocharax notatus,notatus,67.0,Steindachner 1908
curimatidae,cyphocharax,cyphocharax pantostictos,pantostictos,67.0,Vari & Barriga Salazar 1990
curimatidae,cyphocharax,cyphocharax sp.,sp.,67.0,No author
curimatidae,cyphocharax,cyphocharax sp. 1,sp. 1,67.0,No author
curimatidae,cyphocharax,cyphocharax sp. 2,sp. 2,67.0,No author
curimatidae,cyphocharax,cyphocharax spiluropsis,spiluropsis,67.0,Eigenmann & Eigenmann 1889
