familia,genero,nombre_cientifico,especie,genero_id
anostomidae,leporinus,leporinus friderici,friderici,105.0
cichlidae,leporinus,leporinus friderici,friderici,106.0
anostomidae,leporinus,leporinus maculatus,maculatus,105.0
anostomidae,leporinus,leporinus moralesi,moralesi,105.0
anostomidae,leporinus,leporinus sp.,sp.,105.0
anostomidae,leporinus,leporinus sp. 1,sp. 1,105.0
doradidae,leptodoras,leptodoras acipenserinus,acipenserinus,107.0
loricariidae,loricaria,loricaria sp.,sp.,108.0
loricariidae,loricariichthys,loricariichthys maculatus,maculatus,109.0
loricariidae,loricariichthys,loricariichthys nudirostris,nudirostris,109.0
loricariidae,loricariichthys,loricariichthys sp.,sp.,109.0
cichlidae,lugubria,lugubria cincta,cincta,110.0
engraulididae,lycengraulis,lycengraulis batesii,batesii,111.0
callichthyidae,megalechis,megalechis picta,picta,112.0
callichthyidae,megalechis,megalechis thoracata,thoracata,112.0
anostomidae,megaleporinus,megaleporinus trifasciatus,trifasciatus,113.0
crenuchidae,melanocharacidium,melanocharacidium sp.,sp.,114.0
cichlidae,mesonauta,mesonauta insignis,insignis,115.0
cichlidae,mesonauta,mesonauta mirificus,mirificus,115.0
serrasalmidae,metynnis,metynnis luna,luna,116.0
serrasalmidae,metynnis,metynnis maculatus,maculatus,116.0
serrasalmidae,metynnis,metynnis sp.,sp.,116.0
characidae,microschemobrycon,microschemobrycon geisleri,geisleri,117.0
characidae,microschemobrycon,microschemobrycon sp.,sp.,117.0
characidae,moenkhausia,moenkhausia agnesae,agnesae,118.0
characidae,moenkhausia,moenkhausia ceros,ceros,118.0
characidae,moenkhausia,moenkhausia cf. lepidrua,cf. lepidrua,118.0
characidae,moenkhausia,moenkhausia collettii,collettii,118.0
characidae,moenkhausia,moenkhausia comma,comma,118.0
characidae,moenkhausia,moenkhausia grandisquamis,grandisquamis,118.0
characidae,moenkhausia,moenkhausia intermedia,intermedia,118.0
characidae,moenkhausia,moenkhausia melogramma,melogramma,118.0
characidae,moenkhausia,moenkhausia oligolepis,oligolepis,118.0
characidae,moenkhausia,moenkhausia sp.,sp.,118.0
characidae,moenkhausia,moenkhausia sp. 1,sp. 1,118.0
characidae,moenkhausia,moenkhausia sp. 2,sp. 2,118.0
characidae,moenkhausia,moenkhuausia cf. dichroura,cf. dichroura,118.0
polycentridae,monocirrhus,monocirrhus polyacanthus,polyacanthus,119.0
serrasalmidae,myloplus,myloplus cf. levis,cf. levis,120.0
serrasalmidae,myloplus,myloplus rubripinnis,rubripinnis,120.0
serrasalmidae,myloplus,myloplus schomburgkii,schomburgkii,120.0
serrasalmidae,myloplus,myloplus sp.,sp.,120.0
serrasalmidae,mylossoma,mylossoma albiscopum,albiscopum,122.0
characidae,mylossoma,mylossoma albiscopum,albiscopum,121.0
serrasalmidae,mylossoma,mylossoma aureum,aureum,122.0
lebiasinidae,nannostomus,nannostomus eques,eques,123.0
lebiasinidae,nannostomus,nannostomus trifasciatus,trifasciatus,123.0
trichomycteridae,ochmacanthus,ochmacanthus reinhardtii,reinhardtii,124.0
salmonidae,oncorhynchus,oncorhynchus mykiss,mykiss,125.0
osteoglossidae,osteoglossum,osteoglossum bicirrhosum,bicirrhosum,126.0
loricariidae,oxyropsis,oxyropsis wrightiana,wrightiana,127.0
loricariidae,panaqolus,panaqolus changae,changae,128.0
loricariidae,panaque,panaque sp.,sp.,129.0
characidae,paragoniates,paragoniates alburnus,alburnus,130.0
potamotrygonidae,paratrygon,paratrygon aiereba,aiereba,131.0
parodontidae,parodon,parodon buckleyi,buckleyi,132.0
parodontidae,parodon,parodon pongoensis,pongoensis,132.0
loricariidae,peckoltia,peckoltia sp. 1,sp. 1,133.0
loricariidae,peckoltia,peckoltia sp. 2,sp. 2,133.0
loricariidae,peckoltichthys,peckoltichthys bachi,bachi,134.0
pristigasteridae,pellona,pellona flavipinnis,flavipinnis,135.0
characidae,phenacogaster,phenacogaster pectinata,pectinata,136.0
characidae,phenacogaster,phenacogaster sp.,sp.,136.0
heptapteridae,phenacorhamdia,phenacorhamdia sp.,sp.,137.0
characidae,piaractus,piaractus brachypomus,brachypomus,138.0
auchenipteridae,pimelodella,pimelodella buckleyi,buckleyi,140.0
heptapteridae,pimelodella,pimelodella cristata,cristata,139.0
heptapteridae,pimelodella,pimelodella gracilis,gracilis,139.0
pimelodidae,pimelodus,pimelodus blochii,blochii,141.0
pimelodidae,pimelodus,pimelodus ornatus,ornatus,141.0
pimelodidae,pimelodus,pimelodus pictus,pictus,141.0
pimelodidae,pinirampus,pinirampus pirinampu,pirinampu,142.0
loricariidae,planiloricaria,planiloricaria cryptodon,cryptodon,143.0
doradidae,platydoras,platydoras armatulus,armatulus,144.0
pimelodidae,platysilurus,platysilurus mucosus,mucosus,145.0
