familia,genero,nombre_cientifico,especie
Ctenoluciidae,Boulengerella ,Boulengerella cuvieri,cuvieri
Acestrorhynchidae,Acestrorhynchus ,Acestrorhynchus falcatus,falcatus
Acestrorhynchidae,Acestrorhynchus ,Acestrorhynchus microlepis,microlepis
Acestrorhynchidae,Acestrorhynchus ,Acestrorhynchus lacustris,lacustris
Acestrorhynchidae,Acestrorhynchus ,Acestrorhynchus lacustris,lacustris
Cynodontidae,Hydrolycus ,Hydrolycus scomberoides,scomberoides
Cynodontidae,Hydrolycus ,Hydrolycus scomberoides,scomberoides
Cynodontidae,Cynodon ,Cynodon gibbus,gibbus
Cynodontidae,Cynodon ,Cynodon gibbus,gibbus
Cynodontidae,Hydrolycus ,Hydrolycus scomberoides,scomberoides
Serrasalmidae,Myloplus,Myloplus rubripinnis,rubripinnis
Characidae,Mylossoma ,Mylossoma albiscopum,albiscopum
Characidae,Serrasalmus ,Serrasalmus compressus,compressus
Characidae,Serrasalmus ,Serrasalmus elongatus,elongatus
Serrasalmidae,Serrasalmus ,Serrasalmus rhombeus,rhombeus
Serrasalmidae,Pygocentrus ,Pygocentrus nattereri,nattereri
Characidae,Serrasalmus ,Serrasalmus elongatus,elongatus
Characidae,Colossoma ,Colossoma macropomum,macropomum
Serrasalmidae,Serrasalmus ,Serrasalmus rhombeus,rhombeus
Serrasalmidae,Serrasalmus ,Serrasalmus rhombeus,rhombeus
Serrasalmidae,Pygocentrus ,Pygocentrus nattereri,nattereri
Serrasalmidae,Serrasalmus ,Serrasalmus rhombeus,rhombeus
Characidae,Mylossoma ,Mylossoma albiscopum,albiscopum
Serrasalmidae,Metynnis,Metynnis luna,luna
Serrasalmidae,Pygocentrus ,Pygocentrus nattereri,nattereri
Serrasalmidae,Myloplus,Myloplus rubripinnis,rubripinnis
Serrasalmidae,Pygocentrus ,Pygocentrus nattereri,nattereri
Serrasalmidae,Myloplus,Myloplus rubripinnis,rubripinnis
Characidae,Piaractus ,Piaractus brachypomus,brachypomus
Serrasalmidae,Serrasalmus ,Serrasalmus rhombeus,rhombeus
Serrasalmidae,Pygocentrus ,Pygocentrus nattereri,nattereri
Characidae,Serrasalmus ,Serrasalmus humeralis,humeralis
Characidae,Serrasalmus ,Serrasalmus humeralis,humeralis
Serrasalmidae,Serrasalmus ,Serrasalmus rhombeus,rhombeus
Serrasalmidae,Serrasalmus ,Serrasalmus rhombeus,rhombeus
Characidae,Serrasalmus ,Serrasalmus elongatus,elongatus
Serrasalmidae,Serrasalmus ,Serrasalmus rhombeus,rhombeus
Characidae,Serrasalmus ,Serrasalmus spilopleura,spilopleura
Characidae,Mylossoma ,Mylossoma albiscopum,albiscopum
