familia,genero,nombre_cientifico,especie
apteronotidae,platyurosternarchus,platyurosternarchus macrostoma,macrostoma
curimatidae,potamorhina,potamorhina altamazonica,altamazonica
curimatidae,potamorhina,potamorhina latior,latior
curimatidae,potamorhina,potamorhina pristigaster,pristigaster
belonidae,potamorrhaphis,potamorrhaphis eigenmanni,eigenmanni
belonidae,potamorrhaphis,potamorrhaphis guianensis,guianensis
potamotrygonidae,potamotrygon,potamotrygon motoro,motoro
potamotrygonidae,potamotrygon,potamotrygon tigrina,tigrina
characidae,prionobrama,prionobrama filigera,filigera
pristigasteridae,pristigaster,pristigaster cayana,cayana
prochilodontidae,prochilodus,prochilodus nigricans,nigricans
curimatidae,psectrogaster,psectrogaster amazonica,amazonica
curimatidae,psectrogaster,psectrogaster essequibensis,essequibensis
curimatidae,psectrogaster,psectrogaster rutiloides,rutiloides
anostomidae,pseudanos,pseudanos trimaculatus,trimaculatus
aspredinidae,pseudobunocephalus,pseudobunocephalus bifidus,bifidus
loricariidae,pseudohemiodon,pseudohemiodon lamina,lamina
pseudopimelodidae,pseudopimelodus,pseudopimelodus bufonius,bufonius
pimelodidae,pseudoplatystoma,pseudoplatystoma punctifer,punctifer
loricariidae,pseudorinelepis,pseudorinelepis genibarbis,genibarbis
belonidae,pseudotylosurus,pseudotylosurus angusticeps,angusticeps
cichlidae,pterophyllum,pterophyllum scalare,scalare
loricariidae,pterygoplichthys,pterygoplichthys pardalis,pardalis
loricariidae,pterygoplichthys,pterygoplichthys scrophus,scrophus
serrasalmidae,pygocentrus,pygocentrus nattereri,nattereri
lebiasinidae,pyrrhulina,pyrrhulina brevis,brevis
lebiasinidae,pyrrhulina,pyrrhulina sp.,sp.
lebiasinidae,pyrrhulina,pyrrhulina vittata,vittata
lebiasinidae,pyrrhulina,pyrrhulina zigzag,zigzag
heptapteridae,rhandia,rhamdia quelen,quelen
rhamphichthyidae,rhamphichthys,rhamphichthys pantherinus,marmoratus
cynodontidae,rhaphiodon,rhaphiodon vulpinus,vulpinus
loricariidae,rineloricaria,rineloricaria cf. wolfei,cf. wolfei
loricariidae,rineloricaria,rineloricaria sp.,sp.
loricariidae,rineloricaria sp.,rineloricaria sp.,sp.
characidae,roeboides,roeboides myersii,myersii
bryconidae,salminus,salminus iquitensis,sp.
cichlidae,satanoperca,satanoperca jurupari,jurupari
cichlidae,saxatilia,saxatilia anthurus,anthurus
anostomidae,schizodon,schizodon fasciatus,fasciatus
prochilodontidae,semaprochilodus,semaprochilodus insignis,insignis
characidae,serrapinnus,serrapinnus sp.,sp.
characidae,serrasalmus,serrasalmus compressus,compressus
characidae,serrasalmus,serrasalmus elongatus,elongatus
characidae,serrasalmus,serrasalmus humeralis,humeralis
serrasalmidae,serrasalmus,serrasalmus rhombeus,rhombeus
serrasalmidae,serrasalmus,serrasalmus sp.,sp.
characidae,serrasalmus,serrasalmus spilopleura,spilopleura
serrasalmidae,serrrasalmus,serrrasalmus sp.,sp.
pimelodidae,sorubim,sorubim elongatus,elongatus
pimelodidae,sorubin,sorubim elongatus,elongatus
loricariidae,spatuloricaria,spatuloricaria evansii,evansii
tetraodontidae,sphoeroides,sphoeroides asellus,asellus
rhamphichthyidae,steatogenys,steatogenys elegans,elegans
curimatidae,steindachnerina,steindachnerina bimaculata,bimaculata
curimatidae,steindachnerina,steindachnerina dobula,dobula
curimatidae,steindachnerina,steindachnerina guentheri,guentheri
curimatidae,steindachnerina,steindachnerina hypostoma,hypostoma
curimatidae,steindachnerina,steindachnerina leucisca,leucisca
curimatidae,steindachnerina,steindachnerina planiventris,planiventris
curimatidae,steindachnerina,steindachnerina quasimodoi,quasimodoi
curimatidae,steindachnerina,steindachnerina sp.,sp.
sternopygidae,sternopygus,sternopygus macrurus,macrurus
characidae,stethaprion,stethaprion erythrops,erythrops
characidae,stichonodon,stichonodon insignis,insignis
synbranchidae,synbranchus,synbranchus marmoratus,marmoratus
cichlidae,tahuantinsuyoa,tahuantinsuyoa macantzatza,macantzatza
auchenipteridae,tatia,tatia dunni,dunni
auchenipteridae,tatia,tatia intermedia,intermedia
doradidae,tenellus,tenellus sp.,sp.
characidae,tetragonopterus,tetragonopterus argenteus,argenteus
characidae,tetragonopterus,tetragonopterus chalceus,chalceus
batrachoididae,thalassophryne,thalassophryne amazonica,amazonica
characidae,thayeria,thayeria obliqua,oblicua
gasteropelecidae,thoracocharax,thoracocharax securis,securis
gasteropelecidae,thoracocharax,thoracocharax stellatus,stellatus
auchenipteridae,trachelyopterus,trachelyopterus galeatus,galeatus
doradidae,trachydoras,trachydoras nattereri,nattereri
triportheidae,triportheus,triportheus angulatus,angulatus
characidae,tyttocharax,tyttocharax sp.,sp.
pimelodidae,zungaro,zungaro zungaro,zungaro
