nombre_cientifico,autor_nombre_cientifico
Satanoperca jurupari,(Heckel 1840)
Cichla monoculus,Spix & Agassiz 1831
Aequidens tetramerus,(Heckel 1840)
Biotodoma cupido,(Heckel 1840)
Aequidens tetramerus,(Heckel 1840)
Chaetobranchus flavescens,Heckel 1840
Chaetobranchus semifasciatus,Steindachner 1875
Pterophyllum scalare,(Schultze 1823)
Cichla monoculus,Spix & Agassiz 1831
Mesonauta mirificus,Kullander & Silfvergrip 1991
Crenicichla johanna,Heckel 1840
Aequidens tetramerus,(Heckel 1840)
Heros efasciatus ,Heckel 1840
Aequidens tetramerus,(Heckel 1840)
Crenicichla proteus,Cope 1872
Cichlasoma amazonarum,Kullander 1983
Aequidens tetramerus,(Heckel 1840)
Crenicichla lucius ,Cope 1870
Aequidens tetramerus,(Heckel 1840)
Satanoperca jurupari,(Heckel 1840)
Bujurquina peregrinabunda ,Kullander 1986
Myloplus schomburgkii,(Jardine 1841)
Myloplus schomburgkii,(Jardine 1841)
Myloplus schomburgkii,(Jardine 1841)
Lugubria cincta,(Regan 1905)
Bujurquina peregrinabunda ,Kullander 1986
Chaetobranchus flavescens,Heckel 1840
Pterophyllum scalare,(Schultze 1823)
Cichla monoculus,Spix & Agassiz 1831
Satanoperca jurupari,(Heckel 1840)
Cichlasoma amazonarum,Kullander 1983
Bujurquina moriorum,Kullander 1986
Mesonauta insignis,(Heckel 1840)
Bujurquina syspilus,(Cope 1872)
Satanoperca jurupari,(Heckel 1840)
Bujurquina ortegai,Kullander 1986
Crenicichla sedentaria,Kullander 1986
Aequidens tetramerus,(Heckel 1840)
Cichlasoma amazonarum,Kullander 1983
Bujurquina syspilus,(Cope 1872)
Bujurquina robusta,Kullander 1986
Crenicichla proteus,Cope 1872
Chaetobranchus flavescens,Heckel 1840
Crenicichla johanna,Heckel 1840
Astronotus ocellatus,(Agassiz 1831)
Mesonauta insignis,(Heckel 1840)
Aequidens tetramerus,(Heckel 1840)
Biotodoma cupido,(Heckel 1840)
Crenicichla johanna,Heckel 1840
Chaetobranchus flavescens,Heckel 1840
Crenicichla johanna,Heckel 1840
Satanoperca jurupari,(Heckel 1840)
Bujurquina robusta,Kullander 1986
Lugubria cincta,(Regan 1905)
Hypselecara temporalis,(Günther 1862)
Biotodoma cupido,(Heckel 1840)
Cichlasoma amazonarum,Kullander 1983
Satanoperca jurupari,(Heckel 1840)
Mesonauta insignis,(Heckel 1840)
Heros efasciatus ,Heckel 1840
Heros efasciatus ,Heckel 1840
Satanoperca jurupari,(Heckel 1840)
Heros efasciatus ,Heckel 1840
Acaronia nassa,(Heckel 1840)
Hypselecara temporalis,(Günther 1862)
Hypselecara temporalis,(Günther 1862)
Acaronia nassa,(Heckel 1840)
Hypselecara temporalis,(Günther 1862)
Bujurquina peregrinabunda ,Kullander 1986
Aequidens tetramerus,(Heckel 1840)
Bujurquina syspilus,(Cope 1872)
Cichla monoculus,"Spix & Agassiz,1831"
Heros efasciatus ,Heckel 1840
Aequidens tetramerus,(Heckel 1840)
Crenicichla proteus,Cope 1872
Saxatilia anthurus,(Cope 1872)
Bujurquina peregrinabunda ,Kullander 1986
Bujurquina peregrinabunda ,Kullander 1986
Bujurquina pardus,"Arbour, Barriga Salazar & López-Fernández 2014"
Bujurquina moriorum,Kullander 1986
Crenicichla proteus,Cope 1872
Heroina isonycterina,Kullander 1996
Bujurquina peregrinabunda ,Kullander 1986
Cichlasoma amazonarum,Kullander 1983
Mesonauta insignis,(Heckel 1840)
Cichlasoma amazonarum,Kullander 1983
Hypselecara temporalis,(Günther 1862)
Satanoperca jurupari,(Heckel 1840)
Aequidens tetramerus,(Heckel 1840)
Lugubria cincta,(Regan 1905)
Chaetobranchus semifasciatus,Steindachner 1875
Chaetobranchus flavescens,Heckel 1840
Cichla monoculus,Spix & Agassiz 1831
Crenicichla johanna,Heckel 1840
Acaronia nassa,(Heckel 1840)
Crenicichla proteus,Cope 1872
Bujurquina moriorum,Kullander 1986
Acaronia nassa,(Heckel 1840)
Biotodoma cupido,(Heckel 1840)
Acaronia nassa,(Heckel 1840)
Biotodoma cupido,(Heckel 1840)
Mesonauta insignis,(Heckel 1840)
Cichlasoma amazonarum,Kullander 1983
Crenicichla proteus,Cope 1872
Aequidens tetramerus,(Heckel 1840)
Biotodoma cupido,(Heckel 1840)
Crenicara punctulata ,(Günther 1863)
Crenicara punctulata ,(Günther 1863)
Mesonauta insignis,(Heckel 1840)
Apistogramma sp. ,
Bujurquina peregrinabunda ,Kullander 1986
Biotodoma cupido,(Heckel 1840)
Mesonauta mirificus,Kullander & Silfvergrip 1991
Crenicichla lucius ,Cope 1870
Pterophyllum scalare,(Schultze 1823)
Biotodoma cupido,(Heckel 1840)
Bujurquina peregrinabunda ,Kullander 1986
Lugubria cincta,(Regan 1905)
Crenicichla proteus,Cope 1872
Aequidens tetramerus,(Heckel 1840)
Crenicichla lucius ,Cope 1870
Hypselecara temporalis,(Günther 1862)
Satanoperca jurupari,(Heckel 1840)
Biotodoma cupido,(Heckel 1840)
Satanoperca jurupari,(Heckel 1840)
Astronotus ocellatus,(Agassiz 1831)
Cichla monoculus,Spix & Agassiz 1831
Hypselecara temporalis,(Günther 1862)
Heros efasciatus ,Heckel 1840
Aequidens tetramerus,(Heckel 1840)
Cichlasoma amazonarum,Kullander 1983
Crenicichla proteus,Cope 1872
Aequidens diadema ,(Heckel 1840)
Tahuantinsuyoa macantzatza,Kullander 1986
Crenicara punctulata ,(Günther 1863)
Bujurquina pardus,"Arbour, Barriga Salazar & López-Fernández 2014"
Saxatilia anthurus,(Cope 1872)
Bujurquina peregrinabunda ,Kullander 1986
Bujurquina moriorum,Kullander 1986
Saxatilia anthurus,(Cope 1872)
Chaetobranchus flavescens,Heckel 1840
Hypselecara temporalis,(Günther 1862)
Acarichthys heckelii,(Müller & Troschel 1849)
Aequidens diadema ,(Heckel 1840)
Chaetobranchus semifasciatus,Steindachner 1875
Pristigaster cayana,Cuvier 1829
Heroina isonycterina,Kullander 1996
Bujurquina peregrinabunda ,Kullander 1986
Paragoniates alburnus,Steindachner 1876
Moenkhausia oligolepis,(Günther 1864)
Stethaprion erythrops ,Cope 1870
Thoracocharax stellatus,(Kner 1858)
Hypoclinemus mentalis ,(Günther 1862)
Corydoras pastazensis ,Weitzman 1963
Hypoclinemus mentalis ,(Günther 1862)
Crenicichla reticulatus ,(Heckel 1840)
Corydoras armatus ,(Günther 1868)
knodus sp. ,
Serrasalmus rhombeus,(Linnaeus 1766)
Thoracocharax securis ,(De Filippi 1853)
Bujurquina pardus,"Arbour, Barriga Salazar & López-Fernández 2014"
Saxatilia anthurus,(Cope 1872)
Sternopygus macrurus,(Bloch & Schneider 1801)
Gymnotus javari ,"Albert, Crampton & Hagedorn 2003"
Moenkhausia comma ,Eigenmann 1908
Moenkhausia oligolepis,(Günther 1864)
Thoracocharax stellatus,(Kner 1858)
Duringlanis perugiae,(Steindachner 1882)
Tetragonopterus argenteus,Cuvier 1816
Bujurquina huallagae,kullander 1986
Rhamdia quelen,(Quoy & Gaimard 1824)
Serrasalmus rhombeus,(Linnaeus 1766)
Characidium sp. ,
Sphoeroides asellus,(Müller & Troschel 1849)
Loricaria sp. ,
Serrasalmus rhombeus,(Linnaeus 1766)
